for_id	for_impuesto	for_cpto_origen	for_cpto_calculo	for_cpto_distri	for_formula_calculo	for_formula_distri	for_prorratea	for_cta_destino	for_vigencia_desde	for_vigencia_hasta	for__usu_alta	for_fecha_alta	for_usu_modif	for_fecha_modif	for_fecha_baja	for_usu_baja	for_salida_json
16	INM	INMCIUCUM	INMCIUCUM	INMCIUCUM	df.INMCIUCUM		N	900-0000000201/03	1/1/2023	31/12/2024	DC	11/11/2023					N
17	INM	PRUEBA2	PRUEBA2	PRUEBA2	df.PRUEBA2		N	900-0000000201/03	1/1/2023	31/12/2024	DC	11/11/2023					N
1	AUT	AUTOASMT	AUTOASMT	AUTOASMT	df.montoPagado + df.montoRecargo	df.montoPagado	S	900-0000000201/03	1/1/2023	31/12/2024	DC	11/11/2023					S
2	AUT	AUTMUN	AUTMUN	AUTMUN	df.montoPagado + df.montoRecargo	df.montoPagado*.95	S	900-0000013093/02	1/1/2023	31/12/2024	DC	11/11/2023					S
3	AUT	AUTFTP	AUTFTP	AUTFTP	df.montoPagado	df.montoPagado	N	900-0000251229/08	1/1/2023	31/12/2024	DC	11/11/2023					S
4		GENERAL	GENERAL	GENERAL	df.montoPagado	df.montoPagado	N	900-0000000201/03	1/1/2023	31/12/2024	DC	11/11/2023					N
5	AUT	DTOPGOEL	DTOPGOEL	DTOPGOEL	df.montoPagado	df.montoPagado	N	900-0000000201/03	1/1/2023	31/12/2024	DC	11/11/2023					S
6	AUT	AUTMUN	AUTMUN	AUTMUN	df.montoPagado + df.montoRecargo	df.montoPagado*.05	S	900-0000251229/08	1/1/2023	31/12/2024	DC	11/11/2023					S
7	EMB	EMBASMT	EMBASMT	EMBASMT	df.montoPagado + df.montoRecargo	df.montoPagado	N	900-0000000201/03	1/1/2023	31/12/2024	DC	11/11/2023					S
8	INM	FDOFIDUDES	FDOFIDUDES	FDOFIDUDES	df.FDOFIDUDES + ((-df.INMRURCOTA - df.INMRURAEX + df.INMRURIPAP + df.INMFTP - df.DTOPGOEL - df.REDONDEO) * (df.FDOFIDUDES / (df.FDOFIDUDES + (df.INMRURASMT - df.INMCIUCUM))))		N	900-0000011972/02	1/1/2023	31/12/2024	DC	11/11/2023					S
9	INM	INMRURASMT	INMRURASMT	INMRURASMT	(df.INMRURASMT - df.INMCIUCUM) +  ((-df.INMRURCOTA - df.INMRURAEX + df.INMRURIPAP + df.INMFTP - df.DTOPGOEL - df.REDONDEO) * ((df.INMRURASMT - df.INMCIUCUM) / (df.FDOFIDUDES + (df.INMRURASMT - df.INMCIUCUM))))		N	900-0000000201/03	1/1/2023	31/12/2024	DC	11/11/2023					S
10	INM	INMRURCOTA	INMRURCOTA	INMRURCOTA	df.INMRURCOTA		N		1/1/2023	31/12/2024	DC	11/11/2023					N
11	INM	INMRURAEX	INMRURAEX	INMRURAEX	df.INMRURAEX		N		1/1/2023	31/12/2024	DC	11/11/2023					N
12	INM	INMRURIPAP	INMRURIPAP	INMRURIPAP	df.INMRURIPAP		N		1/1/2023	31/12/2024	DC	11/11/2023					N
13	INM	INMFTP	INMFTP	INMFTP	df.INMFTP		N		1/1/2023	31/12/2024	DC	11/11/2023					N
14	INM	DTOPGOEL	DTOPGOEL	DTOPGOEL	df.DTOPGOEL		N		1/1/2023	31/12/2024	DC	11/11/2023					N
15	INM	REDONDEO	REDONDEO	REDONDEO	df.REDONDEO		N		1/1/2023	31/12/2024	DC	11/11/2023					N
